,District,Total Amount,Average Amount,Transaction Count
0,Bayfront,218.4,12.85,17
1,Beauty World,173.5,12.39,14
2,Bedok,212.1,14.14,15
3,Bishan,8.0,8.0,1
4,Blank,6510.4,25.04,260
5,Boon Keng,40.0,40.0,1
6,Boon Lay,102.2,11.36,9
7,Bugis,644.6,11.11,58
8,Bukit Batok,6.6,6.6,1
9,Bukit Timah,47.4,15.8,3
10,Buona Vista,467.2,9.94,47
11,Changi,332.2,13.84,24
12,Chinatown,8.8,8.8,1
13,City Hall,362.15,15.09,24
14,Clarke Quay,11.9,5.95,2
15,Clementi,14326.8,7.28,1969
16,Commonwealth,39.9,7.98,5
17,Dhoby Ghaut,557.1,16.39,34
18,Dover,206.8,3.76,55
19,Esplanade,264.5,14.69,18
20,Expo,9.8,4.9,2
21,Farrer Park,19.2,3.84,5
22,Fort Canning,33.7,5.62,6
23,Gardens By The Bay,36.0,18.0,2
24,Geylang Bahru,9.5,3.17,3
25,Harbourfront,724.2,12.49,58
26,Hillview,60.5,30.25,2
27,Holland Village,505.6,9.91,51
28,Jalan Besar,51.0,51.0,1
29,Jurong East,2000.2,10.21,196
30,King Albert Park,26.0,6.5,4
31,Kranji,6.5,2.17,3
32,Labrador Park,9.7,4.85,2
33,Lavender,14.7,7.35,2
34,Little India,8.5,8.5,1
35,Marina Bay,9.0,9.0,1
36,Maxwell,115.0,28.75,4
37,Novena,15.4,5.13,3
38,Orchard,1562.8,12.6,124
39,Outram Park,158.1,39.52,4
40,Paya Lebar,110.7,13.84,8
41,Promenade,503.05,11.98,42
42,Queenstown,129.5,8.63,15
43,Raffles Place,102.8,9.35,11
44,Rochor,94.1,6.72,14
45,Serangoon,12.7,4.23,3
46,Sixth Avenue,5.9,5.9,1
47,Somerset,775.7,14.92,52
48,Stadium,6.0,6.0,1
49,Tai Seng,71.1,23.7,3
50,Tanjong Pagar,3266.4,7.05,463
51,Telok Ayer,86.8,14.47,6
52,Tiong Bahru,39.3,39.3,1
53,Toa Payoh,10.4,10.4,1
54,Udemy,17.0,17.0,1
55,Ulu Pandan,35.7,7.14,5
56,Upper Thomson,17.8,8.9,2
57,West Coast,49.6,24.8,2
58,Yishun,17.5,4.38,4
